date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199001,191934441438.61,142230208.33,22.10,22.80,23.81,9.70,37,1.64
199002,186337780373.32,141764479.17,19.40,83.30,23.82,9.71,40,1.26
199003,180741119308.03,141298750.00,16.30,17.60,23.84,9.71,42,1.39
199004,181468639586.96,141408875.00,10.20,159.20,23.85,9.72,46,1.39
199005,182196159865.89,141519000.00,9.10,69.60,23.86,9.72,54,0.94
199006,182923680144.82,141629125.00,7.60,19.60,23.88,9.72,60,1.20
199007,183651200423.75,141739250.00,7.90,61.70,23.89,9.73,58,1.45
199008,184378720702.68,141849375.00,10.00,82.60,23.90,9.73,52,1.70
199009,211144935249.52,143894375.00,15.60,23.60,23.91,9.74,49,1.32
199010,210875262098.08,143877500.00,20.90,62.40,23.93,9.74,47,1.45
199011,201554986856.91,143300937.50,28.10,17.60,23.94,9.75,41,1.45
199012,192234711615.75,142724375.00,27.80,30.80,23.95,9.75,37,1.64
199101,201410162386.70,143291875.00,25.50,64.30,23.96,9.75,37,1.57
199102,210585613157.65,143859375.00,23.40,26.40,23.98,9.76,40,1.39
199103,186808489216.27,142159375.00,21.60,27.20,23.99,9.76,42,1.32
199104,168528342749.93,139055625.00,15.00,28.00,24.00,9.77,46,1.07
199105,180458444396.90,140345156.25,10.80,29.90,24.01,9.77,54,0.82
199106,192388546043.87,141634687.50,6.30,121.80,24.03,9.78,60,1.26
199107,204318647690.83,142924218.75,8.80,128.40,24.04,9.78,58,1.20
199108,216248749337.80,144213750.00,11.40,104.30,24.05,9.78,52,1.89
199109,216448507227.75,144226250.00,15.50,67.40,24.06,9.79,49,1.70
199110,208488155313.15,143728125.00,22.90,18.00,24.08,9.79,47,1.32
199111,200527803398.55,143230000.00,25.90,35.60,24.09,9.80,41,1.51
199112,217137671948.09,144269375.00,23.00,46.50,24.10,9.80,37,1.70
199201,210256012639.23,143838750.00,26.10,150.00,26.90,15.80,37,1.39
199202,210076230538.27,143827500.00,18.80,58.30,24.60,15.40,40,1.39
199203,209896448437.31,143816250.00,17.80,38.00,22.70,10.50,42,1.01
199204,208268421634.20,143714375.00,12.90,32.70,19.50,7.00,46,1.07
199205,194016975278.52,142831875.00,10.00,30.40,17.00,3.70,54,0.82
199206,121370736407.95,129574375.00,7.90,39.90,14.00,0.70,60,0.94
199207,181342387135.28,141407500.00,9.10,14.20,13.80,1.40,58,1.13
199208,179190812505.38,141015937.50,11.60,87.00,13.90,1.00,52,1.45
199209,177039237875.49,140624375.00,14.40,86.50,15.60,3.60,49,1.39
199210,174887663245.59,140232812.50,17.40,74.40,18.90,8.30,47,1.45
199211,172736088615.70,139841250.00,21.30,91.40,19.90,9.40,41,1.32
199212,171868167430.69,139471145.83,23.10,76.80,22.70,12.30,37,1.32
199301,171000246245.68,139101041.67,23.70,105.80,26.70,13.80,37,1.26
199302,170132325060.67,138730937.50,20.80,30.00,24.50,12.30,40,1.45
199303,173481989449.61,139553125.00,16.10,109.00,20.50,9.90,42,1.26
199304,176831653838.56,140375312.50,14.10,12.20,20.40,4.70,46,1.01
199305,180181318227.50,141197500.00,10.50,19.80,16.60,0.80,54,0.82
199306,170478647432.70,139310833.33,8.50,21.20,12.00,-1.10,60,1.07
